"GeneID" "Cluster" "Name"
"125" "YAR068W" "insignificant" ""
"126" "YAR071W" "insignificant" "PHO11"
"127" "YAR073W" "insignificant" "IMD1"
"128" "YAR075W" "insignificant" ""
"129" "YBL001C" "insignificant" "ECM15"
"130" "YBL002W" "insignificant" "HTB2"
"131" "YBL003C" "insignificant" "HTA2"
"132" "YBL004W" "insignificant" "UTP20"
"133" "YBL005W" "insignificant" "PDR3"
"134" "YBL005W-B" "insignificant" NA
"135" "YBL006C" "insignificant" "LDB7"
"136" "YBL006W-A" "insignificant" ""
"137" "YBL007C" "insignificant" "SLA1"
"138" "YBL008W" "insignificant" "HIR1"
"139" "YBL008W-A" "insignificant" ""
"140" "YBL009W" "insignificant" "ALK2"
"141" "YBL010C" "insignificant" ""
"142" "YBL011W" "insignificant" "SCT1"
"143" "YBL012C" "insignificant" ""
"144" "YBL013W" "insignificant" "FMT1"
"145" "YBL014C" "insignificant" "RRN6"
"146" "YBL015W" "insignificant" "ACH1"
"147" "YBL016W" "insignificant" "FUS3"
"148" "YBL017C" "insignificant" "PEP1"
"149" "YBL018C" "insignificant" "POP8"
"150" "YBL019W" "insignificant" "APN2"
"151" "YBL020W" "insignificant" "RFT1"
"152" "YBL021C" "insignificant" "HAP3"
"153" "YBL022C" "cluster1" "PIM1"
"154" "YBL023C" "insignificant" "MCM2"
"155" "YBL024W" "insignificant" "NCL1"
"156" "YBL025W" "insignificant" "RRN10"
"157" "YBL026W" "insignificant" "LSM2"
"158" "YBL027W" "insignificant" "RPL19B"
"159" "YBL028C" "insignificant" ""
"160" "YBL029C-A" "insignificant" ""
"161" "YBL029W" "insignificant" ""
"162" "YBL030C" "insignificant" "PET9"
"163" "YBL031W" "insignificant" "SHE1"
"164" "YBL032W" "cluster4" "HEK2"
"165" "YBL033C" "insignificant" "RIB1"
"166" "YBL034C" "insignificant" "STU1"
"167" "YBL035C" "cluster4" "POL12"
"168" "YBL036C" "insignificant" ""
"169" "YBL037W" "insignificant" "APL3"
"170" "YBL038W" "insignificant" "MRPL16"
"171" "YBL039C" "insignificant" "URA7"
"172" "YBL039W-B" "insignificant" ""
"173" "YBL040C" "insignificant" "ERD2"
"174" "YBL041W" "insignificant" "PRE7"
"175" "YBL042C" "insignificant" "FUI1"
"176" "YBL043W" "insignificant" "ECM13"
"177" "YBL044W" "insignificant" ""
"178" "YBL045C" "insignificant" "COR1"
"179" "YBL046W" "insignificant" "PSY4"
"180" "YBL047C" "insignificant" "EDE1"
"181" "YBL048W" "insignificant" "RRT1"
"182" "YBL049W" "insignificant" "MOH1"
"183" "YBL050W" "insignificant" "SEC17"
