"GeneID" "Cluster" "Name"
"129" "YBL001C" "insignificant" "ECM15"
"130" "YBL002W" "cluster4" "HTB2"
"131" "YBL003C" "cluster4" "HTA2"
"132" "YBL004W" "cluster6" "UTP20"
"133" "YBL005W" "insignificant" "PDR3"
"134" "YBL005W-B" "insignificant" NA
"135" "YBL006C" "insignificant" "LDB7"
"136" "YBL006W-A" "insignificant" ""
"137" "YBL007C" "insignificant" "SLA1"
"138" "YBL008W" "cluster1" "HIR1"
"139" "YBL008W-A" "insignificant" ""
"140" "YBL009W" "cluster1" "ALK2"
"141" "YBL010C" "cluster1" ""
"142" "YBL011W" "insignificant" "SCT1"
"143" "YBL012C" "insignificant" ""
"144" "YBL013W" "cluster9" "FMT1"
"145" "YBL014C" "insignificant" "RRN6"
"146" "YBL015W" "cluster8" "ACH1"
"147" "YBL016W" "cluster4" "FUS3"
"148" "YBL017C" "cluster1" "PEP1"
"149" "YBL018C" "cluster4" "POP8"
"150" "YBL019W" "insignificant" "APN2"
"151" "YBL020W" "insignificant" "RFT1"
"152" "YBL021C" "insignificant" "HAP3"
"153" "YBL022C" "cluster2" "PIM1"
"154" "YBL023C" "insignificant" "MCM2"
"155" "YBL024W" "cluster6" "NCL1"
"156" "YBL025W" "insignificant" "RRN10"
"157" "YBL026W" "cluster4" "LSM2"
"158" "YBL027W" "cluster7" "RPL19B"
"159" "YBL028C" "cluster6" ""
"160" "YBL029C-A" "insignificant" ""
"161" "YBL029W" "insignificant" ""
"162" "YBL030C" "insignificant" "PET9"
"163" "YBL031W" "cluster1" "SHE1"
"164" "YBL032W" "cluster4" "HEK2"
"165" "YBL033C" "insignificant" "RIB1"
"166" "YBL034C" "insignificant" "STU1"
"167" "YBL035C" "cluster1" "POL12"
"168" "YBL036C" "cluster1" ""
"169" "YBL037W" "insignificant" "APL3"
"170" "YBL038W" "cluster2" "MRPL16"
"171" "YBL039C" "cluster7" "URA7"
"172" "YBL039W-B" "insignificant" ""
"173" "YBL040C" "insignificant" "ERD2"
"174" "YBL041W" "cluster1" "PRE7"
"175" "YBL042C" "cluster4" "FUI1"
"176" "YBL043W" "insignificant" "ECM13"
"177" "YBL044W" "insignificant" ""
"178" "YBL045C" "insignificant" "COR1"
"179" "YBL046W" "cluster1" "PSY4"
"180" "YBL047C" "insignificant" "EDE1"
"181" "YBL048W" "insignificant" "RRT1"
"182" "YBL049W" "insignificant" "MOH1"
"183" "YBL050W" "insignificant" "SEC17"
"184" "YBL051C" "cluster1" "PIN4"
"185" "YBL052C" "insignificant" "SAS3"
"186" "YBL053W" "insignificant" ""
