"GeneID" "Cluster"
"187" "YBR187W" "cluster4"
"188" "YBR189W" "cluster2"
"189" "YBR191W" "cluster2"
"190" "YBR193C" "cluster5"
"191" "YBR194W" "cluster5"
"192" "YBR196C" "cluster6"
"193" "YBR199W" "cluster5"
"194" "YBR201W" "cluster5"
"195" "YBR202W" "cluster5"
"196" "YBR203W" "cluster3"
"197" "YBR204C" "cluster1"
"198" "YBR208C" "cluster8"
"199" "YBR212W" "cluster1"
"200" "YBR214W" "cluster3"
"201" "YBR218C" "cluster6"
"202" "YBR223C" "cluster1"
"203" "YBR225W" "cluster1"
"204" "YBR227C" "cluster5"
"205" "YBR228W" "cluster5"
"206" "YBR229C" "cluster5"
"207" "YBR230C" "cluster3"
"208" "YBR230W-A" "cluster3"
"209" "YBR231C" "cluster5"
"210" "YBR233W" "cluster5"
"211" "YBR235W" "cluster5"
"212" "YBR238C" "cluster8"
"213" "YBR239C" "cluster5"
"214" "YBR240C" "cluster3"
"215" "YBR241C" "cluster3"
"216" "YBR242W" "cluster4"
"217" "YBR243C" "cluster6"
"218" "YBR247C" "cluster4"
"219" "YBR248C" "cluster4"
"220" "YBR249C" "cluster2"
"221" "YBR251W" "cluster5"
"222" "YBR258C" "cluster5"
"223" "YBR259W" "cluster5"
"224" "YBR263W" "cluster6"
"225" "YBR265W" "cluster5"
"226" "YBR267W" "cluster4"
"227" "YBR268W" "cluster5"
"228" "YBR269C" "cluster1"
"229" "YBR271W" "cluster4"
"230" "YBR273C" "cluster5"
"231" "YBR275C" "cluster5"
"232" "YBR276C" "cluster5"
"233" "YBR278W" "cluster5"
"234" "YBR280C" "cluster1"
"235" "YBR283C" "cluster4"
"236" "YBR284W" "cluster3"
"237" "YBR285W" "cluster3"
"238" "YBR287W" "cluster1"
"239" "YBR289W" "cluster5"
"240" "YBR293W" "cluster6"
"241" "YBR294W" "cluster6"
"242" "YBR295W" "cluster6"
"243" "YBR296C" "cluster9"
"244" "YBR297W" "cluster3"
"245" "YBR298C" "cluster3"
"246" "YCL002C" "cluster5"
"247" "YCL008C" "cluster5"
"248" "YCL011C" "cluster5"
"249" "YCL012C" "cluster1"
"250" "YCL014W" "cluster5"
"251" "YCL016C" "cluster5"
"252" "YCL018W" "cluster7"
"253" "YCL019W" "cluster7"
"254" "YCL025C" "cluster3"
"255" "YCL026C-A" "cluster8"
"256" "YCL026C-B" "cluster3"
"257" "YCL027W" "cluster6"
"258" "YCL030C" "cluster8"
"259" "YCL031C" "cluster4"
"260" "YCL032W" "cluster5"
"261" "YCL034W" "cluster1"
"262" "YCL035C" "cluster1"
"263" "YCL039W" "cluster1"
"264" "YCL040W" "cluster3"
"265" "YCL043C" "cluster6"
"266" "YCL044C" "cluster1"
"267" "YCL045C" "cluster5"
"268" "YCL047C" "cluster5"
"269" "YCL049C" "cluster1"
"270" "YCL054W" "cluster4"
"271" "YCL055W" "cluster5"
"272" "YCL056C" "cluster5"
"273" "YCL057W" "cluster5"
"274" "YCL058W-A" "cluster10"
"275" "YCL059C" "cluster4"
"276" "YCL061C" "cluster5"
"277" "YCL063W" "cluster5"
"278" "YCL064C" "cluster8"
"279" "YCL074W" "cluster7"
"280" "YCL075W" "cluster7"
"281" "YCL076W" "cluster7"
"282" "YCR004C" "cluster1"
"283" "YCR007C" "cluster1"
"284" "YCR008W" "cluster5"
"285" "YCR009C" "cluster5"
"286" "YCR011C" "cluster5"
"287" "YCR012W" "cluster8"
"288" "YCR016W" "cluster4"
"289" "YCR019W" "cluster5"
"290" "YCR020C-A" "cluster6"
"291" "YCR027C" "cluster5"
"292" "YCR028C-A" "cluster6"
"293" "YCR030C" "cluster1"
"294" "YCR031C" "cluster2"
"295" "YCR033W" "cluster5"
"296" "YCR034W" "cluster2"
"297" "YCR035C" "cluster4"
"298" "YCR043C" "cluster4"
"299" "YCR046C" "cluster5"
"300" "YCR048W" "cluster8"
"301" "YCR051W" "cluster4"
"302" "YCR053W" "cluster4"
"303" "YCR054C" "cluster4"
"304" "YCR057C" "cluster4"
"305" "YCR061W" "cluster3"
"306" "YCR065W" "cluster6"
"307" "YCR068W" "cluster1"
"308" "YCR069W" "cluster1"
"309" "YCR072C" "cluster4"
"310" "YCR073C" "cluster5"
"311" "YCR073W-A" "cluster1"
"312" "YCR075C" "cluster1"
"313" "YCR075W-A" "cluster6"
"314" "YCR076C" "cluster1"
"315" "YCR079W" "cluster1"
"316" "YCR084C" "cluster6"
"317" "YCR086W" "cluster5"
"318" "YCR087C-A" "cluster10"
"319" "YCR089W" "cluster6"
"320" "YCR090C" "cluster4"
"321" "YCR091W" "cluster3"
"322" "YCR092C" "cluster5"
"323" "YCR098C" "cluster9"
"324" "YCR099C" "cluster3"
"325" "YCR100C" "cluster3"
"326" "YCR101C" "cluster3"
"327" "YDL001W" "cluster5"
"328" "YDL002C" "cluster5"
"329" "YDL003W" "cluster6"
"330" "YDL005C" "cluster5"
"331" "YDL010W" "cluster1"
"332" "YDL014W" "cluster2"
"333" "YDL015C" "cluster6"
"334" "YDL016C" "cluster8"
"335" "YDL018C" "cluster5"
"336" "YDL019C" "cluster1"
"337" "YDL021W" "cluster3"
"338" "YDL022W" "cluster3"
"339" "YDL025C" "cluster1"
"340" "YDL029W" "cluster5"
"341" "YDL030W" "cluster5"
"342" "YDL031W" "cluster4"
"343" "YDL033C" "cluster5"
"344" "YDL037C" "cluster7"
"345" "YDL039C" "cluster8"
"346" "YDL040C" "cluster4"
"347" "YDL045C" "cluster5"
"348" "YDL046W" "cluster1"
"349" "YDL051W" "cluster2"
"350" "YDL052C" "cluster6"
"351" "YDL054C" "cluster1"
"352" "YDL056W" "cluster5"
"353" "YDL059C" "cluster5"
"354" "YDL060W" "cluster4"
"355" "YDL061C" "cluster2"
"356" "YDL063C" "cluster4"
"357" "YDL065C" "cluster5"
"358" "YDL074C" "cluster5"
"359" "YDL075W" "cluster2"
"360" "YDL077C" "cluster5"
"361" "YDL078C" "cluster5"
"362" "YDL079C" "cluster1"
"363" "YDL081C" "cluster2"
"364" "YDL082W" "cluster2"
"365" "YDL083C" "cluster2"
"366" "YDL085C-A" "cluster6"
"367" "YDL085W" "cluster3"
"368" "YDL086W" "cluster1"
"369" "YDL087C" "cluster5"
"370" "YDL089W" "cluster5"
"371" "YDL090C" "cluster5"
"372" "YDL091C" "cluster1"
"373" "YDL092W" "cluster4"
"374" "YDL093W" "cluster5"
"375" "YDL095W" "cluster6"
"376" "YDL097C" "cluster5"
"377" "YDL098C" "cluster5"
"378" "YDL100C" "cluster6"
"379" "YDL101C" "cluster5"
"380" "YDL102W" "cluster5"
"381" "YDL103C" "cluster5"
"382" "YDL110C" "cluster1"
"383" "YDL112W" "cluster4"
"384" "YDL114W" "cluster9"
"385" "YDL117W" "cluster5"
"386" "YDL119C" "cluster5"
"387" "YDL120W" "cluster5"
"388" "YDL122W" "cluster4"
"389" "YDL123W" "cluster1"
"390" "YDL124W" "cluster3"
"391" "YDL126C" "cluster5"
"392" "YDL127W" "cluster5"
"393" "YDL128W" "cluster5"
"394" "YDL130W-A" "cluster3"
"395" "YDL132W" "cluster5"
"396" "YDL133W" "cluster5"
"397" "YDL135C" "cluster5"
"398" "YDL136W" "cluster2"
"399" "YDL137W" "cluster5"
"400" "YDL142C" "cluster5"
"401" "YDL144C" "cluster5"
"402" "YDL148C" "cluster4"
"403" "YDL149W" "cluster1"
"404" "YDL150W" "cluster4"
"405" "YDL153C" "cluster4"
"406" "YDL154W" "cluster5"
"407" "YDL159W" "cluster5"
"408" "YDL161W" "cluster5"
"409" "YDL164C" "cluster5"
"410" "YDL165W" "cluster5"
"411" "YDL167C" "cluster4"
"412" "YDL168W" "cluster5"
"413" "YDL169C" "cluster3"
"414" "YDL171C" "cluster6"
"415" "YDL173W" "cluster6"
"416" "YDL174C" "cluster1"
"417" "YDL175C" "cluster5"
"418" "YDL181W" "cluster3"
"419" "YDL182W" "cluster6"
"420" "YDL183C" "cluster1"
"421" "YDL184C" "cluster2"
"422" "YDL185W" "cluster6"
"423" "YDL188C" "cluster5"
"424" "YDL191W" "cluster2"
"425" "YDL192W" "cluster2"
"426" "YDL193W" "cluster5"
"427" "YDL195W" "cluster6"
"428" "YDL197C" "cluster1"
"429" "YDL198C" "cluster6"
"430" "YDL199C" "cluster1"
"431" "YDL201W" "cluster4"
"432" "YDL202W" "cluster5"
"433" "YDL203C" "cluster5"
"434" "YDL204W" "cluster3"
"435" "YDL207W" "cluster5"
"436" "YDL208W" "cluster4"
"437" "YDL210W" "cluster3"
"438" "YDL212W" "cluster4"
"439" "YDL213C" "cluster4"
"440" "YDL214C" "cluster3"
"441" "YDL215C" "cluster1"
"442" "YDL219W" "cluster4"
"443" "YDL220C" "cluster5"
"444" "YDL222C" "cluster3"
"445" "YDL224C" "cluster5"
"446" "YDL225W" "cluster5"
"447" "YDL227C" "cluster8"
"448" "YDL229W" "cluster2"
"449" "YDL230W" "cluster1"
"450" "YDL232W" "cluster6"
"451" "YDL234C" "cluster1"
"452" "YDL236W" "cluster4"
"453" "YDL240W" "cluster5"
"454" "YDL241W" "cluster8"
"455" "YDL244W" "cluster9"
"456" "YDR002W" "cluster2"
"457" "YDR003W" "cluster1"
"458" "YDR003W-A" "cluster1"
"459" "YDR004W" "cluster5"
"460" "YDR006C" "cluster5"
"461" "YDR007W" "cluster1"
"462" "YDR012W" "cluster2"
"463" "YDR014W-A" "cluster9"
"464" "YDR016C" "cluster5"
"465" "YDR020C" "cluster4"
"466" "YDR021W" "cluster4"
"467" "YDR023W" "cluster4"
"468" "YDR025W" "cluster2"
"469" "YDR028C" "cluster5"
"470" "YDR033W" "cluster8"
"471" "YDR034C" "cluster5"
"472" "YDR034C-D" "cluster3"
"473" "YDR034W-B" "cluster9"
"474" "YDR035W" "cluster6"
"475" "YDR037W" "cluster4"
"476" "YDR038C" "cluster6"
"477" "YDR043C" "cluster1"
"478" "YDR045C" "cluster4"
"479" "YDR046C" "cluster6"
"480" "YDR050C" "cluster6"
"481" "YDR051C" "cluster5"
"482" "YDR055W" "cluster3"
"483" "YDR058C" "cluster1"
"484" "YDR060W" "cluster4"
"485" "YDR062W" "cluster5"
"486" "YDR063W" "cluster5"
"487" "YDR064W" "cluster2"
"488" "YDR065W" "cluster5"
"489" "YDR068W" "cluster5"
"490" "YDR069C" "cluster1"
"491" "YDR070C" "cluster9"
"492" "YDR071C" "cluster5"
"493" "YDR072C" "cluster6"
"494" "YDR074W" "cluster3"
"495" "YDR075W" "cluster4"
"496" "YDR077W" "cluster3"
"497" "YDR080W" "cluster5"
"498" "YDR083W" "cluster4"
"499" "YDR084C" "cluster5"
"500" "YDR085C" "cluster1"
"501" "YDR087C" "cluster4"
"502" "YDR089W" "cluster5"
"503" "YDR091C" "cluster4"
"504" "YDR092W" "cluster5"
"505" "YDR097C" "cluster5"
"506" "YDR098C" "cluster4"
"507" "YDR100W" "cluster1"
"508" "YDR101C" "cluster4"
"509" "YDR103W" "cluster5"
"510" "YDR105C" "cluster5"
"511" "YDR109C" "cluster5"
"512" "YDR113C" "cluster5"
"513" "YDR119W" "cluster4"
"514" "YDR119W-A" "cluster9"
"515" "YDR120C" "cluster4"
"516" "YDR122W" "cluster1"
"517" "YDR123C" "cluster8"
"518" "YDR124W" "cluster1"
"519" "YDR125C" "cluster1"
"520" "YDR127W" "cluster6"
"521" "YDR129C" "cluster5"
"522" "YDR130C" "cluster5"
"523" "YDR133C" "cluster9"
"524" "YDR146C" "cluster6"
"525" "YDR150W" "cluster5"
"526" "YDR152W" "cluster4"
"527" "YDR153C" "cluster5"
"528" "YDR155C" "cluster3"
"529" "YDR158W" "cluster6"
"530" "YDR161W" "cluster4"
"531" "YDR163W" "cluster5"
"532" "YDR165W" "cluster4"
"533" "YDR169C" "cluster5"
"534" "YDR170W-A" "cluster6"
"535" "YDR171W" "cluster3"
"536" "YDR172W" "cluster4"
"537" "YDR173C" "cluster1"
"538" "YDR174W" "cluster5"
"539" "YDR175C" "cluster5"
"540" "YDR176W" "cluster5"
"541" "YDR177W" "cluster5"
"542" "YDR183W" "cluster5"
"543" "YDR184C" "cluster4"
"544" "YDR186C" "cluster5"
"545" "YDR190C" "cluster4"
"546" "YDR191W" "cluster5"
"547" "YDR192C" "cluster5"
"548" "YDR194C" "cluster4"
"549" "YDR198C" "cluster4"
"550" "YDR200C" "cluster5"
"551" "YDR201W" "cluster5"
"552" "YDR204W" "cluster1"
"553" "YDR206W" "cluster5"
"554" "YDR207C" "cluster5"
"555" "YDR208W" "cluster5"
"556" "YDR210C-D" "cluster7"
"557" "YDR211W" "cluster4"
"558" "YDR212W" "cluster4"
"559" "YDR214W" "cluster1"
"560" "YDR223W" "cluster1"
