"GeneID" "Cluster"
"187" "YBR128C" "cluster2"
"188" "YBR130C" "cluster1"
"189" "YBR131W" "cluster1"
"190" "YBR133C" "cluster1"
"191" "YBR135W" "cluster1"
"192" "YBR136W" "cluster2"
"193" "YBR138C" "cluster2"
"194" "YBR140C" "cluster2"
"195" "YBR142W" "cluster4"
"196" "YBR143C" "cluster4"
"197" "YBR145W" "cluster7"
"198" "YBR148W" "cluster3"
"199" "YBR153W" "cluster1"
"200" "YBR154C" "cluster4"
"201" "YBR155W" "cluster4"
"202" "YBR156C" "cluster1"
"203" "YBR158W" "cluster5"
"204" "YBR159W" "cluster1"
"205" "YBR160W" "cluster1"
"206" "YBR161W" "cluster1"
"207" "YBR162C" "cluster5"
"208" "YBR162W-A" "cluster1"
"209" "YBR163W" "cluster1"
"210" "YBR164C" "cluster1"
"211" "YBR165W" "cluster1"
"212" "YBR166C" "cluster1"
"213" "YBR169C" "cluster3"
"214" "YBR170C" "cluster1"
"215" "YBR173C" "cluster2"
"216" "YBR177C" "cluster6"
"217" "YBR181C" "cluster9"
"218" "YBR182C" "cluster7"
"219" "YBR182C-A" "cluster7"
"220" "YBR183W" "cluster3"
"221" "YBR186W" "cluster5"
"222" "YBR187W" "cluster4"
"223" "YBR189W" "cluster9"
"224" "YBR191W" "cluster9"
"225" "YBR196C" "cluster5"
"226" "YBR199W" "cluster1"
"227" "YBR200W" "cluster1"
"228" "YBR201W" "cluster1"
"229" "YBR202W" "cluster1"
"230" "YBR203W" "cluster3"
"231" "YBR205W" "cluster1"
"232" "YBR207W" "cluster1"
"233" "YBR208C" "cluster7"
"234" "YBR211C" "cluster1"
"235" "YBR212W" "cluster3"
"236" "YBR214W" "cluster3"
"237" "YBR215W" "cluster1"
"238" "YBR217W" "cluster2"
"239" "YBR218C" "cluster1"
"240" "YBR220C" "cluster1"
"241" "YBR223C" "cluster2"
"242" "YBR225W" "cluster2"
"243" "YBR227C" "cluster1"
"244" "YBR228W" "cluster1"
"245" "YBR230C" "cluster3"
"246" "YBR231C" "cluster1"
"247" "YBR233W" "cluster1"
"248" "YBR233W-A" "cluster1"
"249" "YBR239C" "cluster1"
"250" "YBR240C" "cluster3"
"251" "YBR241C" "cluster3"
"252" "YBR242W" "cluster1"
"253" "YBR243C" "cluster1"
"254" "YBR248C" "cluster4"
"255" "YBR249C" "cluster9"
"256" "YBR251W" "cluster1"
"257" "YBR252W" "cluster4"
"258" "YBR255C-A" "cluster2"
"259" "YBR258C" "cluster1"
"260" "YBR259W" "cluster1"
"261" "YBR263W" "cluster1"
"262" "YBR265W" "cluster1"
"263" "YBR267W" "cluster4"
"264" "YBR269C" "cluster3"
"265" "YBR272C" "cluster2"
"266" "YBR273C" "cluster2"
"267" "YBR275C" "cluster1"
"268" "YBR280C" "cluster3"
"269" "YBR282W" "cluster1"
"270" "YBR283C" "cluster1"
"271" "YBR285W" "cluster10"
"272" "YBR287W" "cluster6"
"273" "YBR288C" "cluster1"
"274" "YBR289W" "cluster1"
"275" "YBR291C" "cluster1"
"276" "YBR293W" "cluster1"
"277" "YBR295W" "cluster6"
"278" "YBR298C" "cluster3"
"279" "YBR301W" "cluster8"
"280" "YCL001W" "cluster1"
"281" "YCL002C" "cluster1"
"282" "YCL004W" "cluster1"
"283" "YCL005W" "cluster1"
"284" "YCL005W-A" "cluster8"
"285" "YCL007C" "cluster8"
"286" "YCL008C" "cluster1"
"287" "YCL011C" "cluster1"
"288" "YCL014W" "cluster1"
"289" "YCL016C" "cluster1"
"290" "YCL018W" "cluster8"
"291" "YCL021W-A" "cluster7"
"292" "YCL024W" "cluster1"
"293" "YCL025C" "cluster7"
"294" "YCL026C-B" "cluster7"
"295" "YCL027W" "cluster5"
"296" "YCL029C" "cluster1"
"297" "YCL030C" "cluster7"
"298" "YCL031C" "cluster1"
"299" "YCL032W" "cluster1"
"300" "YCL034W" "cluster2"
"301" "YCL035C" "cluster3"
"302" "YCL037C" "cluster5"
"303" "YCL039W" "cluster2"
"304" "YCL040W" "cluster10"
"305" "YCL042W" "cluster8"
"306" "YCL043C" "cluster6"
"307" "YCL044C" "cluster6"
"308" "YCL045C" "cluster1"
"309" "YCL046W" "cluster8"
"310" "YCL048W" "cluster10"
"311" "YCL048W-A" "cluster10"
"312" "YCL050C" "cluster1"
"313" "YCL051W" "cluster2"
"314" "YCL052C" "cluster2"
"315" "YCL054W" "cluster4"
"316" "YCL055W" "cluster1"
"317" "YCL056C" "cluster1"
"318" "YCL057W" "cluster2"
"319" "YCL059C" "cluster4"
"320" "YCL061C" "cluster1"
"321" "YCL063W" "cluster1"
"322" "YCL064C" "cluster7"
"323" "YCL074W" "cluster8"
"324" "YCL075W" "cluster8"
"325" "YCL076W" "cluster8"
