"GeneID" "Cluster"
"1" "RPR1" "cluster10"
"2" "YAL001C" "cluster2"
"3" "YAL002W" "cluster2"
"4" "YAL005C" "cluster5"
"5" "YAL007C" "cluster1"
"6" "YAL010C" "cluster2"
"7" "YAL015C" "cluster2"
"8" "YAL017W" "cluster3"
"9" "YAL019W" "cluster1"
"10" "YAL020C" "cluster1"
"11" "YAL021C" "cluster1"
"12" "YAL023C" "cluster1"
"13" "YAL024C" "cluster1"
"14" "YAL026C" "cluster1"
"15" "YAL028W" "cluster3"
"16" "YAL029C" "cluster1"
"17" "YAL034W-A" "cluster1"
"18" "YAL039C" "cluster2"
"19" "YAL040C" "cluster1"
"20" "YAL042W" "cluster1"
"21" "YAL047C" "cluster1"
"22" "YAL049C" "cluster2"
"23" "YAL051W" "cluster2"
"24" "YAL053W" "cluster1"
"25" "YAL054C" "cluster5"
"26" "YAL060W" "cluster5"
"27" "YAL061W" "cluster5"
"28" "YAR002C-A" "cluster1"
"29" "YAR002W" "cluster1"
"30" "YAR003W" "cluster1"
"31" "YAR007C" "cluster1"
"32" "YAR008W" "cluster1"
"33" "YAR009C" "cluster9"
"34" "YAR018C" "cluster1"
"35" "YAR019C" "cluster2"
"36" "YAR020C" "cluster5"
"37" "YAR023C" "cluster3"
"38" "YAR035W" "cluster5"
"39" "YAR050W" "cluster4"
"40" "YBL001C" "cluster3"
"41" "YBL002W" "cluster7"
"42" "YBL003C" "cluster7"
"43" "YBL004W" "cluster6"
"44" "YBL005W" "cluster1"
"45" "YBL005W-B" "cluster9"
"46" "YBL008W" "cluster1"
"47" "YBL009W" "cluster1"
"48" "YBL010C" "cluster1"
"49" "YBL015W" "cluster5"
"50" "YBL016W" "cluster1"
"51" "YBL017C" "cluster2"
"52" "YBL020W" "cluster1"
"53" "YBL021C" "cluster2"
"54" "YBL023C" "cluster1"
"55" "YBL024W" "cluster6"
"56" "YBL026W" "cluster1"
"57" "YBL028C" "cluster6"
"58" "YBL029W" "cluster2"
"59" "YBL031W" "cluster1"
"60" "YBL032W" "cluster1"
"61" "YBL034C" "cluster1"
"62" "YBL035C" "cluster1"
"63" "YBL036C" "cluster1"
"64" "YBL039W-B" "cluster3"
"65" "YBL042C" "cluster7"
"66" "YBL046W" "cluster1"
"67" "YBL049W" "cluster5"
"68" "YBL051C" "cluster1"
"69" "YBL054W" "cluster6"
"70" "YBL055C" "cluster1"
"71" "YBL057C" "cluster1"
"72" "YBL058W" "cluster2"
"73" "YBL063W" "cluster1"
"74" "YBL064C" "cluster5"
"75" "YBL067C" "cluster1"
"76" "YBL068W" "cluster6"
"77" "YBL080C" "cluster2"
"78" "YBL082C" "cluster7"
"79" "YBL085W" "cluster1"
"80" "YBL093C" "cluster1"
"81" "YBL097W" "cluster1"
"82" "YBL101C" "cluster3"
"83" "YBL102W" "cluster2"
"84" "YBR001C" "cluster3"
"85" "YBR004C" "cluster1"
"86" "YBR005W" "cluster5"
"87" "YBR006W" "cluster3"
"88" "YBR008C" "cluster1"
"89" "YBR009C" "cluster1"
"90" "YBR010W" "cluster1"
"91" "YBR014C" "cluster2"
"92" "YBR015C" "cluster1"
"93" "YBR016W" "cluster2"
"94" "YBR021W" "cluster7"
"95" "YBR023C" "cluster1"
"96" "YBR025C" "cluster6"
"97" "YBR028C" "cluster1"
"98" "YBR033W" "cluster2"
"99" "YBR034C" "cluster6"
"100" "YBR037C" "cluster2"
"101" "YBR039W" "cluster2"
"102" "YBR040W" "cluster8"
"103" "YBR042C" "cluster1"
"104" "YBR044C" "cluster2"
"105" "YBR046C" "cluster5"
"106" "YBR049C" "cluster1"
"107" "YBR053C" "cluster3"
"108" "YBR054W" "cluster8"
"109" "YBR056W" "cluster3"
"110" "YBR056W-A" "cluster8"
"111" "YBR057C" "cluster1"
"112" "YBR066C" "cluster4"
"113" "YBR067C" "cluster8"
"114" "YBR069C" "cluster7"
"115" "YBR070C" "cluster1"
"116" "YBR071W" "cluster3"
"117" "YBR073W" "cluster1"
"118" "YBR077C" "cluster2"
"119" "YBR078W" "cluster7"
"120" "YBR079C" "cluster6"
"121" "YBR082C" "cluster1"
"122" "YBR083W" "cluster1"
"123" "YBR087W" "cluster1"
"124" "YBR088C" "cluster7"
"125" "YBR089W" "cluster10"
"126" "YBR091C" "cluster1"
"127" "YBR092C" "cluster7"
"128" "YBR093C" "cluster9"
"129" "YBR098W" "cluster1"
"130" "YBR099C" "cluster4"
"131" "YBR106W" "cluster6"
"132" "YBR111W-A" "cluster1"
"133" "YBR112C" "cluster1"
"134" "YBR125C" "cluster1"
"135" "YBR135W" "cluster1"
"136" "YBR142W" "cluster6"
"137" "YBR146W" "cluster2"
"138" "YBR153W" "cluster1"
"139" "YBR154C" "cluster6"
"140" "YBR156C" "cluster1"
"141" "YBR157C" "cluster5"
"142" "YBR158W" "cluster1"
"143" "YBR161W" "cluster2"
"144" "YBR162C" "cluster7"
"145" "YBR166C" "cluster1"
"146" "YBR170C" "cluster2"
"147" "YBR171W" "cluster1"
"148" "YBR172C" "cluster1"
"149" "YBR173C" "cluster2"
"150" "YBR176W" "cluster1"
"151" "YBR182C" "cluster4"
"152" "YBR200W" "cluster2"
"153" "YBR201C-A" "cluster5"
"154" "YBR201W" "cluster2"
"155" "YBR202W" "cluster1"
"156" "YBR203W" "cluster5"
"157" "YBR207W" "cluster2"
"158" "YBR208C" "cluster7"
"159" "YBR220C" "cluster1"
"160" "YBR223C" "cluster3"
"161" "YBR225W" "cluster3"
"162" "YBR230C" "cluster5"
"163" "YBR231C" "cluster2"
"164" "YBR233W" "cluster1"
"165" "YBR233W-A" "cluster1"
"166" "YBR239C" "cluster1"
"167" "YBR240C" "cluster4"
"168" "YBR241C" "cluster5"
"169" "YBR242W" "cluster1"
"170" "YBR243C" "cluster1"
"171" "YBR244W" "cluster1"
"172" "YBR245C" "cluster1"
"173" "YBR246W" "cluster1"
"174" "YBR248C" "cluster1"
"175" "YBR251W" "cluster2"
"176" "YBR252W" "cluster6"
"177" "YBR258C" "cluster1"
"178" "YBR259W" "cluster1"
"179" "YBR267W" "cluster6"
"180" "YBR275C" "cluster1"
"181" "YBR276C" "cluster1"
"182" "YBR278W" "cluster1"
"183" "YBR281C" "cluster1"
"184" "YBR284W" "cluster5"
"185" "YBR287W" "cluster3"
"186" "YBR289W" "cluster1"
"187" "YBR293W" "cluster1"
"188" "YBR294W" "cluster4"
"189" "YBR295W" "cluster4"
"190" "YBR296C" "cluster8"
"191" "YCL001W" "cluster1"
"192" "YCL004W" "cluster2"
"193" "YCL005W" "cluster1"
"194" "YCL014W" "cluster1"
"195" "YCL016C" "cluster1"
"196" "YCL024W" "cluster1"
"197" "YCL025C" "cluster4"
"198" "YCL026C-A" "cluster9"
"199" "YCL026C-B" "cluster4"
"200" "YCL027W" "cluster4"
"201" "YCL028W" "cluster2"
"202" "YCL029C" "cluster1"
"203" "YCL030C" "cluster7"
"204" "YCL034W" "cluster2"
"205" "YCL038C" "cluster3"
"206" "YCL040W" "cluster5"
"207" "YCL043C" "cluster4"
"208" "YCL044C" "cluster3"
"209" "YCL047C" "cluster2"
"210" "YCL048W" "cluster5"
"211" "YCL054W" "cluster6"
"212" "YCL055W" "cluster1"
"213" "YCL056C" "cluster2"
"214" "YCL057W" "cluster2"
"215" "YCL061C" "cluster1"
"216" "YCL063W" "cluster1"
"217" "YCL064C" "cluster4"
"218" "YCL074W" "cluster10"
"219" "YCL075W" "cluster10"
"220" "YCL076W" "cluster10"
"221" "YCR005C" "cluster5"
"222" "YCR007C" "cluster3"
"223" "YCR009C" "cluster2"
"224" "YCR011C" "cluster2"
"225" "YCR020C-A" "cluster1"
"226" "YCR024C-A" "cluster7"
"227" "YCR024C-B" "cluster7"
"228" "YCR026C" "cluster2"
"229" "YCR027C" "cluster1"
"230" "YCR034W" "cluster6"
"231" "YCR042C" "cluster1"
"232" "YCR043C" "cluster6"
"233" "YCR045W-A" "cluster4"
"234" "YCR048W" "cluster7"
"235" "YCR052W" "cluster1"
"236" "YCR057C" "cluster6"
"237" "YCR065W" "cluster1"
"238" "YCR073C" "cluster1"
"239" "YCR073W-A" "cluster3"
"240" "YCR075C" "cluster3"
"241" "YCR076C" "cluster3"
"242" "YCR079W" "cluster3"
"243" "YCR083W" "cluster3"
"244" "YCR084C" "cluster1"
"245" "YCR086W" "cluster1"
"246" "YCR087C-A" "cluster4"
"247" "YCR089W" "cluster4"
"248" "YCR090C" "cluster1"
"249" "YCR092C" "cluster1"
"250" "YCR093W" "cluster1"
"251" "YCR097W" "cluster4"
"252" "YCR099C" "cluster4"
"253" "YCR100C" "cluster4"
"254" "YCR101C" "cluster4"
"255" "YDL003W" "cluster1"
"256" "YDL005C" "cluster1"
"257" "YDL008W" "cluster1"
"258" "YDL010W" "cluster1"
"259" "YDL016C" "cluster4"
"260" "YDL018C" "cluster2"
"261" "YDL019C" "cluster3"
"262" "YDL021W" "cluster5"
"263" "YDL025C" "cluster2"
"264" "YDL028C" "cluster2"
"265" "YDL031W" "cluster6"
"266" "YDL033C" "cluster1"
"267" "YDL037C" "cluster9"
"268" "YDL039C" "cluster9"
"269" "YDL045C" "cluster2"
"270" "YDL046W" "cluster3"
"271" "YDL048C" "cluster8"
"272" "YDL052C" "cluster1"
"273" "YDL054C" "cluster2"
"274" "YDL055C" "cluster7"
"275" "YDL056W" "cluster1"
"276" "YDL057W" "cluster2"
"277" "YDL064W" "cluster1"
"278" "YDL065C" "cluster2"
"279" "YDL072C" "cluster2"
"280" "YDL073W" "cluster1"
"281" "YDL085W" "cluster5"
"282" "YDL090C" "cluster2"
"283" "YDL091C" "cluster2"
"284" "YDL093W" "cluster1"
"285" "YDL095W" "cluster1"
"286" "YDL097C" "cluster2"
"287" "YDL098C" "cluster1"
"288" "YDL100C" "cluster1"
"289" "YDL101C" "cluster1"
"290" "YDL102W" "cluster1"
"291" "YDL103C" "cluster2"
"292" "YDL104C" "cluster2"
"293" "YDL105W" "cluster1"
"294" "YDL113C" "cluster2"
"295" "YDL117W" "cluster1"
"296" "YDL119C" "cluster2"
"297" "YDL120W" "cluster2"
"298" "YDL122W" "cluster1"
"299" "YDL123W" "cluster3"
"300" "YDL124W" "cluster5"
"301" "YDL125C" "cluster2"
"302" "YDL127W" "cluster1"
"303" "YDL128W" "cluster2"
"304" "YDL132W" "cluster2"
"305" "YDL133W" "cluster2"
"306" "YDL135C" "cluster2"
"307" "YDL137W" "cluster2"
"308" "YDL138W" "cluster2"
"309" "YDL141W" "cluster1"
"310" "YDL145C" "cluster1"
"311" "YDL155W" "cluster1"
"312" "YDL157C" "cluster1"
"313" "YDL164C" "cluster1"
"314" "YDL165W" "cluster2"
"315" "YDL169C" "cluster5"
"316" "YDL170W" "cluster1"
"317" "YDL171C" "cluster7"
"318" "YDL175C" "cluster2"
"319" "YDL185W" "cluster1"
"320" "YDL193W" "cluster2"
"321" "YDL195W" "cluster2"
"322" "YDL196W" "cluster5"
"323" "YDL197C" "cluster2"
"324" "YDL198C" "cluster1"
"325" "YDL207W" "cluster1"
"326" "YDL210W" "cluster5"
"327" "YDL211C" "cluster1"
"328" "YDL214C" "cluster5"
"329" "YDL218W" "cluster5"
"330" "YDL219W" "cluster1"
"331" "YDL220C" "cluster1"
"332" "YDL224C" "cluster2"
"333" "YDL225W" "cluster1"
"334" "YDL226C" "cluster1"
"335" "YDL227C" "cluster7"
"336" "YDL233W" "cluster2"
"337" "YDL234C" "cluster3"
"338" "YDL238C" "cluster3"
"339" "YDL241W" "cluster7"
"340" "YDR001C" "cluster3"
"341" "YDR002W" "cluster6"
"342" "YDR003W" "cluster3"
"343" "YDR003W-A" "cluster3"
"344" "YDR006C" "cluster1"
"345" "YDR007W" "cluster4"
"346" "YDR008C" "cluster8"
"347" "YDR013W" "cluster1"
"348" "YDR014W-A" "cluster8"
"349" "YDR016C" "cluster2"
"350" "YDR021W" "cluster6"
"351" "YDR027C" "cluster2"
"352" "YDR028C" "cluster2"
"353" "YDR033W" "cluster9"
"354" "YDR035W" "cluster1"
"355" "YDR037W" "cluster6"
"356" "YDR041W" "cluster2"
"357" "YDR042C" "cluster4"
"358" "YDR043C" "cluster3"
"359" "YDR046C" "cluster1"
"360" "YDR049W" "cluster1"
"361" "YDR054C" "cluster2"
"362" "YDR055W" "cluster5"
"363" "YDR059C" "cluster3"
"364" "YDR063W" "cluster2"
"365" "YDR065W" "cluster1"
"366" "YDR067C" "cluster2"
"367" "YDR068W" "cluster2"
"368" "YDR069C" "cluster3"
"369" "YDR071C" "cluster1"
"370" "YDR072C" "cluster1"
"371" "YDR076W" "cluster2"
"372" "YDR083W" "cluster6"
"373" "YDR084C" "cluster2"
"374" "YDR085C" "cluster3"
"375" "YDR086C" "cluster1"
"376" "YDR089W" "cluster1"
"377" "YDR091C" "cluster6"
"378" "YDR092W" "cluster2"
"379" "YDR093W" "cluster1"
"380" "YDR097C" "cluster1"
"381" "YDR098C" "cluster1"
"382" "YDR101C" "cluster6"
"383" "YDR103W" "cluster1"
"384" "YDR105C" "cluster2"
"385" "YDR106W" "cluster4"
"386" "YDR108W" "cluster1"
"387" "YDR109C" "cluster1"
"388" "YDR113C" "cluster1"
"389" "YDR117C" "cluster1"
"390" "YDR122W" "cluster2"
"391" "YDR123C" "cluster4"
"392" "YDR124W" "cluster3"
"393" "YDR125C" "cluster3"
"394" "YDR129C" "cluster2"
"395" "YDR133C" "cluster8"
"396" "YDR135C" "cluster1"
"397" "YDR143C" "cluster1"
"398" "YDR144C" "cluster6"
"399" "YDR145W" "cluster1"
"400" "YDR150W" "cluster2"
"401" "YDR158W" "cluster7"
"402" "YDR167W" "cluster1"
"403" "YDR169C" "cluster2"
"404" "YDR171W" "cluster5"
"405" "YDR173C" "cluster2"
"406" "YDR174W" "cluster1"
"407" "YDR176W" "cluster1"
"408" "YDR178W" "cluster5"
"409" "YDR183W" "cluster1"
"410" "YDR184C" "cluster6"
"411" "YDR188W" "cluster1"
"412" "YDR189W" "cluster1"
"413" "YDR191W" "cluster1"
"414" "YDR192C" "cluster1"
"415" "YDR196C" "cluster2"
"416" "YDR197W" "cluster2"
"417" "YDR198C" "cluster1"
"418" "YDR200C" "cluster2"
"419" "YDR207C" "cluster1"
"420" "YDR208W" "cluster2"
"421" "YDR210C-D" "cluster9"
"422" "YDR214W" "cluster3"
"423" "YDR219C" "cluster2"
"424" "YDR224C" "cluster1"
"425" "YDR225W" "cluster1"
"426" "YDR231C" "cluster5"
"427" "YDR238C" "cluster1"
"428" "YDR242W" "cluster2"
"429" "YDR246W" "cluster2"
"430" "YDR249C" "cluster1"
"431" "YDR251W" "cluster2"
"432" "YDR254W" "cluster2"
"433" "YDR255C" "cluster2"
"434" "YDR257C" "cluster1"
"435" "YDR258C" "cluster5"
"436" "YDR259C" "cluster3"
"437" "YDR260C" "cluster1"
"438" "YDR262W" "cluster3"
"439" "YDR263C" "cluster1"
"440" "YDR264C" "cluster1"
"441" "YDR270W" "cluster3"
"442" "YDR273W" "cluster3"
"443" "YDR275W" "cluster3"
"444" "YDR276C" "cluster3"
"445" "YDR277C" "cluster5"
"446" "YDR280W" "cluster1"
"447" "YDR283C" "cluster2"
"448" "YDR285W" "cluster1"
"449" "YDR293C" "cluster3"
"450" "YDR295C" "cluster1"
"451" "YDR297W" "cluster1"
"452" "YDR300C" "cluster1"
"453" "YDR307W" "cluster2"
"454" "YDR309C" "cluster1"
"455" "YDR310C" "cluster1"
"456" "YDR320C" "cluster2"
"457" "YDR321W" "cluster6"
"458" "YDR322C-A" "cluster2"
"459" "YDR324C" "cluster6"
"460" "YDR329C" "cluster2"
"461" "YDR330W" "cluster2"
"462" "YDR332W" "cluster2"
"463" "YDR333C" "cluster1"
"464" "YDR342C" "cluster8"
"465" "YDR343C" "cluster8"
"466" "YDR345C" "cluster7"
"467" "YDR346C" "cluster1"
"468" "YDR348C" "cluster1"
"469" "YDR350C" "cluster2"
"470" "YDR351W" "cluster1"
"471" "YDR352W" "cluster1"
"472" "YDR356W" "cluster1"
"473" "YDR362C" "cluster2"
"474" "YDR363W" "cluster2"
"475" "YDR372C" "cluster1"
"476" "YDR374W-A" "cluster4"
"477" "YDR379C-A" "cluster5"
"478" "YDR379W" "cluster2"
"479" "YDR381C-A" "cluster2"
"480" "YDR381W" "cluster1"
"481" "YDR383C" "cluster1"
"482" "YDR384C" "cluster7"
"483" "YDR386W" "cluster2"
"484" "YDR387C" "cluster2"
"485" "YDR389W" "cluster1"
"486" "YDR391C" "cluster2"
"487" "YDR392W" "cluster2"
