"GeneID" "Cluster" "Name"
"147" "YBL016W" "cluster7" "FUS3"
"148" "YBL017C" "cluster4" "PEP1"
"149" "YBL018C" "cluster2" "POP8"
"150" "YBL019W" "insignificant" "APN2"
"151" "YBL020W" "cluster4" "RFT1"
"152" "YBL021C" "insignificant" "HAP3"
"153" "YBL022C" "insignificant" "PIM1"
"154" "YBL023C" "cluster4" "MCM2"
"155" "YBL024W" "cluster2" "NCL1"
"156" "YBL025W" "insignificant" "RRN10"
"157" "YBL026W" "cluster4" "LSM2"
"158" "YBL027W" "cluster2" "RPL19B"
"159" "YBL028C" "cluster2" ""
"160" "YBL029C-A" "cluster6" ""
"161" "YBL029W" "insignificant" ""
"162" "YBL030C" "insignificant" "PET9"
"163" "YBL031W" "cluster4" "SHE1"
"164" "YBL032W" "cluster2" "HEK2"
"165" "YBL033C" "insignificant" "RIB1"
"166" "YBL034C" "insignificant" "STU1"
"167" "YBL035C" "insignificant" "POL12"
"168" "YBL036C" "insignificant" ""
"169" "YBL037W" "insignificant" "APL3"
"170" "YBL038W" "insignificant" "MRPL16"
"171" "YBL039C" "cluster2" "URA7"
"172" "YBL039W-B" "insignificant" ""
"173" "YBL040C" "insignificant" "ERD2"
"174" "YBL041W" "insignificant" "PRE7"
"175" "YBL042C" "cluster8" "FUI1"
"176" "YBL043W" "insignificant" "ECM13"
"177" "YBL044W" "insignificant" ""
"178" "YBL045C" "cluster6" "COR1"
"179" "YBL046W" "cluster4" "PSY4"
"180" "YBL047C" "insignificant" "EDE1"
"181" "YBL048W" "insignificant" "RRT1"
"182" "YBL049W" "insignificant" "MOH1"
"183" "YBL050W" "cluster4" "SEC17"
"184" "YBL051C" "cluster4" "PIN4"
"185" "YBL052C" "insignificant" "SAS3"
"186" "YBL053W" "insignificant" ""
"187" "YBL054W" "cluster2" "TOD6"
"188" "YBL055C" "cluster4" ""
"189" "YBL056W" "insignificant" "PTC3"
"190" "YBL057C" "cluster4" "PTH2"
"191" "YBL058W" "cluster4" "SHP1"
"192" "YBL059C-A" "cluster6" "CMC2"
"193" "YBL059W" "insignificant" ""
"194" "YBL060W" "insignificant" "YEL1"
"195" "YBL061C" "cluster4" "SKT5"
"196" "YBL062W" "insignificant" ""
"197" "YBL063W" "cluster4" "KIP1"
"198" "YBL064C" "cluster3" "PRX1"
"199" "YBL065W" "insignificant" ""
"200" "YBL066C" "insignificant" "SEF1"
"201" "YBL067C" "cluster4" "UBP13"
"202" "YBL068W" "cluster2" "PRS4"
"203" "YBL069W" "insignificant" "AST1"
"204" "YBL070C" "insignificant" ""
"205" "YBL071C" "insignificant" ""
"206" "YBL071C-B" "insignificant" ""
"207" "YBL071W-A" "cluster8" "KTI11"
"208" "YBL072C" "cluster2" "RPS8A"
"209" "YBL073W" "insignificant" ""
"210" "YBL074C" "cluster7" "AAR2"
"211" "YBL075C" "cluster6" "SSA3"
"212" "YBL076C" "cluster2" "ILS1"
"213" "YBL077W" "insignificant" ""
"214" "YBL078C" "cluster3" "ATG8"
"215" "YBL079W" "insignificant" "NUP170"
"216" "YBL080C" "cluster4" "PET112"
"217" "YBL081W" "cluster2" ""
"218" "YBL082C" "cluster8" "ALG3"
"219" "YBL084C" "insignificant" "CDC27"
"220" "YBL085W" "insignificant" "BOI1"
"221" "YBL086C" "cluster6" ""
"222" "YBL087C" "cluster2" "RPL23A"
"223" "YBL088C" "cluster4" "TEL1"
"224" "YBL089W" "insignificant" "AVT5"
"225" "YBL090W" "insignificant" "MRP21"
"226" "YBL091C" "insignificant" "MAP2"
"227" "YBL091C-A" "insignificant" "SCS22"
"228" "YBL092W" "cluster2" "RPL32"
"229" "YBL093C" "cluster7" "ROX3"
"230" "YBL094C" "insignificant" ""
"231" "YBL095W" "insignificant" "MRX3"
"232" "YBL096C" "insignificant" ""
"233" "YBL097W" "cluster7" "BRN1"
"234" "YBL098W" "cluster7" "BNA4"
"235" "YBL099W" "insignificant" "ATP1"
"236" "YBL100C" "insignificant" ""
"237" "YBL100W-B" "insignificant" NA
"238" "YBL100W-C" "insignificant" ""
"239" "YBL101C" "cluster6" "ECM21"
"240" "YBL102W" "cluster4" "SFT2"
"241" "YBL103C" "insignificant" "RTG3"
"242" "YBL104C" "insignificant" "SEA4"
"243" "YBL105C" "insignificant" "PKC1"
"244" "YBL106C" "insignificant" "SRO77"
"245" "YBL107C" "insignificant" "MIX23"
"246" "YBL107W-A" "insignificant" ""
"247" "YBL108C-A" "insignificant" "PAU9"
"248" "YBL108W" "insignificant" ""
"249" "YBL109W" "insignificant" ""
"250" "YBL111C" "insignificant" ""
"251" "YBL112C" "insignificant" ""
"252" "YBL113C" "insignificant" ""
"253" "YBL113W-A" "insignificant" ""
"254" "YBR001C" "cluster6" "NTH2"
"255" "YBR002C" "cluster4" "RER2"
"256" "YBR003W" "insignificant" "COQ1"
"257" "YBR004C" "cluster7" "GPI18"
"258" "YBR005W" "cluster6" "RCR1"
"259" "YBR006W" "insignificant" "UGA2"
"260" "YBR007C" "cluster4" "DSF2"
"261" "YBR008C" "insignificant" "FLR1"
"262" "YBR009C" "cluster2" "HHF1"
"263" "YBR010W" "cluster2" "HHT1"
"264" "YBR011C" "insignificant" "IPP1"
"265" "YBR012W-B" "insignificant" NA
"266" "YBR014C" "cluster4" "GRX7"
"267" "YBR015C" "cluster4" "MNN2"
"268" "YBR016W" "cluster6" ""
"269" "YBR017C" "insignificant" "KAP104"
"270" "YBR018C" "cluster3" "GAL7"
"271" "YBR019C" "cluster3" "GAL10"
"272" "YBR020W" "insignificant" "GAL1"
"273" "YBR021W" "cluster8" "FUR4"
"274" "YBR022W" "insignificant" "POA1"
"275" "YBR023C" "cluster4" "CHS3"
"276" "YBR024W" "insignificant" "SCO2"
"277" "YBR025C" "cluster2" "OLA1"
"278" "YBR026C" "cluster6" "ETR1"
"279" "YBR027C" "insignificant" ""
"280" "YBR028C" "cluster4" "YPK3"
"281" "YBR029C" "insignificant" "CDS1"
"282" "YBR030W" "cluster4" "RKM3"
"283" "YBR031W" "cluster2" "RPL4A"
"284" "YBR032W" "insignificant" ""
"285" "YBR033W" "cluster6" "EDS1"
"286" "YBR034C" "cluster2" "HMT1"
"287" "YBR035C" "insignificant" "PDX3"
"288" "YBR036C" "cluster4" "CSG2"
"289" "YBR037C" "cluster6" "SCO1"
"290" "YBR038W" "cluster7" "CHS2"
"291" "YBR039W" "cluster6" "ATP3"
"292" "YBR040W" "cluster9" "FIG1"
"293" "YBR041W" "insignificant" "FAT1"
"294" "YBR042C" "insignificant" "CST26"
"295" "YBR043C" "cluster4" "QDR3"
"296" "YBR044C" "insignificant" "TCM62"
"297" "YBR045C" "insignificant" "GIP1"
"298" "YBR046C" "insignificant" "ZTA1"
"299" "YBR047W" "insignificant" "FMP23"
"300" "YBR048W" "cluster2" "RPS11B"
"301" "YBR049C" "cluster4" "REB1"
"302" "YBR050C" "cluster3" "REG2"
"303" "YBR051W" "insignificant" ""
"304" "YBR052C" "cluster6" "RFS1"
"305" "YBR053C" "insignificant" ""
"306" "YBR054W" "insignificant" "YRO2"
