"GeneID" "Cluster"
"187" "YBR250W" "cluster6"
"188" "YBR252W" "cluster8"
"189" "YBR258C" "cluster4"
"190" "YBR259W" "cluster1"
"191" "YBR275C" "cluster1"
"192" "YBR278W" "cluster4"
"193" "YBR279W" "cluster1"
"194" "YBR281C" "cluster1"
"195" "YBR284W" "cluster5"
"196" "YBR287W" "cluster3"
"197" "YBR289W" "cluster1"
"198" "YBR293W" "cluster4"
"199" "YBR295W" "cluster6"
"200" "YBR297W" "cluster5"
"201" "YBR298C-A" "cluster12"
"202" "YCL001W" "cluster1"
"203" "YCL002C" "cluster1"
"204" "YCL004W" "cluster2"
"205" "YCL005W" "cluster1"
"206" "YCL010C" "cluster2"
"207" "YCL014W" "cluster1"
"208" "YCL016C" "cluster2"
"209" "YCL024W" "cluster1"
"210" "YCL025C" "cluster6"
"211" "YCL026C-A" "cluster9"
"212" "YCL026C-B" "cluster6"
"213" "YCL027W" "cluster7"
"214" "YCL028W" "cluster1"
"215" "YCL029C" "cluster1"
"216" "YCL030C" "cluster7"
"217" "YCL034W" "cluster3"
"218" "YCL038C" "cluster5"
"219" "YCL040W" "cluster11"
"220" "YCL043C" "cluster6"
"221" "YCL044C" "cluster3"
"222" "YCL045C" "cluster1"
"223" "YCL047C" "cluster1"
"224" "YCL048W" "cluster10"
"225" "YCL048W-A" "cluster10"
"226" "YCL049C" "cluster3"
"227" "YCL052C" "cluster3"
"228" "YCL054W" "cluster8"
"229" "YCL055W" "cluster4"
"230" "YCL056C" "cluster2"
"231" "YCL063W" "cluster1"
"232" "YCL074W" "cluster12"
"233" "YCL075W" "cluster12"
"234" "YCL076W" "cluster12"
"235" "YCR005C" "cluster5"
"236" "YCR007C" "cluster3"
"237" "YCR009C" "cluster2"
"238" "YCR011C" "cluster3"
"239" "YCR019W" "cluster2"
"240" "YCR020C-A" "cluster4"
"241" "YCR022C" "cluster9"
"242" "YCR024C-A" "cluster7"
"243" "YCR026C" "cluster2"
"244" "YCR027C" "cluster1"
"245" "YCR030C" "cluster3"
"246" "YCR032W" "cluster2"
"247" "YCR034W" "cluster8"
"248" "YCR036W" "cluster2"
"249" "YCR037C" "cluster1"
"250" "YCR038C" "cluster3"
"251" "YCR042C" "cluster1"
"252" "YCR044C" "cluster1"
"253" "YCR045W-A" "cluster6"
"254" "YCR047W-A" "cluster6"
"255" "YCR048W" "cluster7"
"256" "YCR052W" "cluster1"
"257" "YCR057C" "cluster8"
"258" "YCR063W" "cluster7"
"259" "YCR065W" "cluster4"
"260" "YCR073C" "cluster1"
"261" "YCR073W-A" "cluster5"
"262" "YCR075C" "cluster6"
"263" "YCR076C" "cluster3"
"264" "YCR083W" "cluster5"
"265" "YCR084C" "cluster1"
"266" "YCR086W" "cluster4"
"267" "YCR087C-A" "cluster6"
"268" "YCR088W" "cluster6"
"269" "YCR089W" "cluster6"
"270" "YCR090C" "cluster1"
"271" "YCR099C" "cluster6"
"272" "YCR100C" "cluster6"
"273" "YCR101C" "cluster6"
"274" "YDL003W" "cluster7"
"275" "YDL005C" "cluster2"
"276" "YDL015C" "cluster1"
"277" "YDL016C" "cluster7"
"278" "YDL018C" "cluster3"
"279" "YDL019C" "cluster3"
"280" "YDL020C" "cluster3"
"281" "YDL021W" "cluster11"
"282" "YDL022W" "cluster5"
"283" "YDL025C" "cluster3"
"284" "YDL027C" "cluster3"
"285" "YDL028C" "cluster2"
"286" "YDL029W" "cluster2"
"287" "YDL044C" "cluster2"
"288" "YDL045C" "cluster2"
"289" "YDL049C" "cluster7"
"290" "YDL051W" "cluster8"
"291" "YDL052C" "cluster1"
"292" "YDL054C" "cluster3"
"293" "YDL055C" "cluster7"
"294" "YDL056W" "cluster1"
"295" "YDL057W" "cluster3"
"296" "YDL059C" "cluster4"
"297" "YDL064W" "cluster1"
"298" "YDL065C" "cluster2"
"299" "YDL066W" "cluster4"
"300" "YDL070W" "cluster4"
"301" "YDL072C" "cluster3"
"302" "YDL073W" "cluster1"
"303" "YDL076C" "cluster2"
"304" "YDL084W" "cluster1"
"305" "YDL085W" "cluster11"
"306" "YDL090C" "cluster2"
"307" "YDL093W" "cluster4"
"308" "YDL095W" "cluster1"
"309" "YDL097C" "cluster2"
"310" "YDL098C" "cluster1"
"311" "YDL100C" "cluster1"
"312" "YDL101C" "cluster4"
"313" "YDL102W" "cluster1"
"314" "YDL103C" "cluster1"
"315" "YDL105W" "cluster4"
"316" "YDL106C" "cluster3"
"317" "YDL107W" "cluster3"
"318" "YDL108W" "cluster1"
"319" "YDL111C" "cluster1"
"320" "YDL113C" "cluster3"
"321" "YDL115C" "cluster3"
"322" "YDL116W" "cluster1"
"323" "YDL117W" "cluster1"
"324" "YDL119C" "cluster2"
"325" "YDL121C" "cluster8"
"326" "YDL122W" "cluster1"
"327" "YDL123W" "cluster5"
"328" "YDL124W" "cluster5"
"329" "YDL125C" "cluster3"
"330" "YDL127W" "cluster4"
"331" "YDL132W" "cluster2"
"332" "YDL133W" "cluster2"
"333" "YDL134C" "cluster2"
"334" "YDL135C" "cluster2"
"335" "YDL137W" "cluster3"
"336" "YDL138W" "cluster2"
"337" "YDL145C" "cluster1"
"338" "YDL155W" "cluster1"
"339" "YDL156W" "cluster4"
"340" "YDL157C" "cluster1"
"341" "YDL164C" "cluster1"
"342" "YDL166C" "cluster1"
"343" "YDL168W" "cluster3"
"344" "YDL169C" "cluster11"
"345" "YDL171C" "cluster4"
"346" "YDL174C" "cluster3"
"347" "YDL175C" "cluster2"
"348" "YDL178W" "cluster1"
"349" "YDL185W" "cluster1"
"350" "YDL187C" "cluster12"
"351" "YDL189W" "cluster1"
"352" "YDL190C" "cluster2"
"353" "YDL192W" "cluster8"
"354" "YDL193W" "cluster2"
"355" "YDL195W" "cluster4"
"356" "YDL197C" "cluster3"
"357" "YDL198C" "cluster4"
"358" "YDL204W" "cluster11"
"359" "YDL207W" "cluster1"
"360" "YDL209C" "cluster4"
"361" "YDL210W" "cluster5"
"362" "YDL211C" "cluster4"
"363" "YDL214C" "cluster5"
"364" "YDL219W" "cluster1"
"365" "YDL220C" "cluster2"
"366" "YDL225W" "cluster1"
"367" "YDL226C" "cluster1"
"368" "YDL227C" "cluster7"
"369" "YDL229W" "cluster0"
"370" "YDL234C" "cluster5"
"371" "YDL237W" "cluster2"
"372" "YDL238C" "cluster5"
"373" "YDL239C" "cluster3"
"374" "YDL241W" "cluster7"
"375" "YDR001C" "cluster5"
"376" "YDR002W" "cluster1"
"377" "YDR006C" "cluster2"
"378" "YDR007W" "cluster6"
"379" "YDR008C" "cluster10"
"380" "YDR009W" "cluster5"
"381" "YDR014W-A" "cluster10"
"382" "YDR016C" "cluster3"
"383" "YDR018C" "cluster5"
"384" "YDR020C" "cluster8"
"385" "YDR026C" "cluster1"
"386" "YDR027C" "cluster2"
"387" "YDR028C" "cluster2"
"388" "YDR034C" "cluster2"
"389" "YDR034C-D" "cluster9"
"390" "YDR035W" "cluster4"
"391" "YDR037W" "cluster8"
"392" "YDR041W" "cluster2"
"393" "YDR042C" "cluster6"
"394" "YDR043C" "cluster3"
"395" "YDR046C" "cluster4"
"396" "YDR047W" "cluster1"
"397" "YDR049W" "cluster1"
"398" "YDR054C" "cluster2"
"399" "YDR055W" "cluster6"
"400" "YDR057W" "cluster2"
"401" "YDR059C" "cluster5"
"402" "YDR063W" "cluster2"
"403" "YDR065W" "cluster4"
"404" "YDR067C" "cluster2"
"405" "YDR068W" "cluster2"
"406" "YDR069C" "cluster3"
"407" "YDR072C" "cluster1"
"408" "YDR076W" "cluster3"
"409" "YDR084C" "cluster1"
"410" "YDR085C" "cluster5"
"411" "YDR086C" "cluster1"
"412" "YDR087C" "cluster8"
"413" "YDR089W" "cluster4"
"414" "YDR091C" "cluster8"
"415" "YDR093W" "cluster1"
"416" "YDR096W" "cluster5"
"417" "YDR097C" "cluster1"
"418" "YDR098C" "cluster1"
"419" "YDR103W" "cluster1"
"420" "YDR108W" "cluster1"
"421" "YDR109C" "cluster1"
"422" "YDR113C" "cluster1"
"423" "YDR116C" "cluster1"
"424" "YDR117C" "cluster1"
"425" "YDR119W" "cluster1"
"426" "YDR121W" "cluster1"
"427" "YDR124W" "cluster3"
"428" "YDR126W" "cluster4"
"429" "YDR129C" "cluster2"
"430" "YDR130C" "cluster2"
"431" "YDR133C" "cluster10"
"432" "YDR135C" "cluster1"
"433" "YDR144C" "cluster8"
"434" "YDR148C" "cluster5"
"435" "YDR150W" "cluster3"
"436" "YDR151C" "cluster2"
"437" "YDR155C" "cluster5"
"438" "YDR158W" "cluster7"
"439" "YDR160W" "cluster2"
"440" "YDR163W" "cluster2"
"441" "YDR164C" "cluster1"
"442" "YDR169C" "cluster3"
"443" "YDR170W-A" "cluster6"
"444" "YDR171W" "cluster11"
"445" "YDR173C" "cluster3"
"446" "YDR174W" "cluster1"
"447" "YDR176W" "cluster1"
"448" "YDR178W" "cluster5"
"449" "YDR180W" "cluster1"
"450" "YDR184C" "cluster8"
"451" "YDR188W" "cluster1"
"452" "YDR189W" "cluster1"
"453" "YDR191W" "cluster4"
"454" "YDR192C" "cluster2"
"455" "YDR194C" "cluster1"
"456" "YDR195W" "cluster1"
"457" "YDR196C" "cluster2"
"458" "YDR198C" "cluster1"
"459" "YDR200C" "cluster2"
"460" "YDR201W" "cluster1"
"461" "YDR207C" "cluster1"
"462" "YDR208W" "cluster2"
"463" "YDR210C-D" "cluster9"
"464" "YDR210W" "cluster6"
"465" "YDR211W" "cluster1"
"466" "YDR214W" "cluster5"
"467" "YDR219C" "cluster3"
"468" "YDR221W" "cluster2"
"469" "YDR222W" "cluster4"
"470" "YDR224C" "cluster7"
"471" "YDR225W" "cluster7"
"472" "YDR228C" "cluster1"
"473" "YDR231C" "cluster5"
"474" "YDR235W" "cluster1"
"475" "YDR238C" "cluster1"
"476" "YDR242W" "cluster3"
"477" "YDR244W" "cluster2"
"478" "YDR246W" "cluster3"
"479" "YDR249C" "cluster4"
"480" "YDR251W" "cluster2"
"481" "YDR252W" "cluster4"
"482" "YDR254W" "cluster3"
"483" "YDR255C" "cluster3"
"484" "YDR257C" "cluster1"
"485" "YDR258C" "cluster11"
"486" "YDR261C" "cluster1"
"487" "YDR261C-D" "cluster9"
"488" "YDR262W" "cluster3"
"489" "YDR263C" "cluster3"
"490" "YDR264C" "cluster2"
"491" "YDR270W" "cluster3"
"492" "YDR273W" "cluster3"
"493" "YDR275W" "cluster6"
"494" "YDR277C" "cluster5"
"495" "YDR280W" "cluster1"
"496" "YDR281C" "cluster9"
"497" "YDR283C" "cluster2"
"498" "YDR285W" "cluster4"
"499" "YDR289C" "cluster2"
"500" "YDR293C" "cluster3"
"501" "YDR295C" "cluster1"
"502" "YDR300C" "cluster1"
"503" "YDR302W" "cluster1"
