"GeneID" "Cluster"
"1" "YAL001C" "cluster1"
"2" "YAL002W" "cluster1"
"3" "YAL005C" "cluster2"
"4" "YAL007C" "cluster3"
"5" "YAL015C" "cluster1"
"6" "YAL017W" "cluster2"
"7" "YAL019W" "cluster3"
"8" "YAL020C" "cluster4"
"9" "YAL021C" "cluster4"
"10" "YAL023C" "cluster4"
"11" "YAL024C" "cluster3"
"12" "YAL025C" "cluster5"
"13" "YAL026C" "cluster4"
"14" "YAL028W" "cluster2"
"15" "YAL029C" "cluster3"
"16" "YAL034W-A" "cluster3"
"17" "YAL039C" "cluster1"
"18" "YAL040C" "cluster4"
"19" "YAL042W" "cluster3"
"20" "YAL047C" "cluster3"
"21" "YAL051W" "cluster1"
"22" "YAL053W" "cluster1"
"23" "YAL054C" "cluster2"
"24" "YAL059W" "cluster5"
"25" "YAL060W" "cluster2"
"26" "YAL061W" "cluster6"
"27" "YAR002C-A" "cluster4"
"28" "YAR002W" "cluster3"
"29" "YAR003W" "cluster3"
"30" "YAR007C" "cluster1"
"31" "YAR008W" "cluster3"
"32" "YAR009C" "cluster7"
"33" "YAR014C" "cluster3"
"34" "YAR015W" "cluster4"
"35" "YAR018C" "cluster3"
"36" "YAR019C" "cluster1"
"37" "YAR023C" "cluster1"
"38" "YAR029W" "cluster8"
"39" "YAR035W" "cluster6"
"40" "YAR050W" "cluster2"
"41" "YBL001C" "cluster1"
"42" "YBL002W" "cluster4"
"43" "YBL003C" "cluster4"
"44" "YBL004W" "cluster5"
"45" "YBL008W" "cluster3"
"46" "YBL009W" "cluster3"
"47" "YBL010C" "cluster3"
"48" "YBL013W" "cluster8"
"49" "YBL014C" "cluster3"
"50" "YBL015W" "cluster2"
"51" "YBL016W" "cluster4"
"52" "YBL017C" "cluster1"
"53" "YBL020W" "cluster3"
"54" "YBL021C" "cluster1"
"55" "YBL023C" "cluster3"
"56" "YBL024W" "cluster5"
"57" "YBL026W" "cluster3"
"58" "YBL028C" "cluster5"
"59" "YBL029W" "cluster1"
"60" "YBL031W" "cluster3"
"61" "YBL032W" "cluster4"
"62" "YBL034C" "cluster3"
"63" "YBL035C" "cluster3"
"64" "YBL036C" "cluster3"
"65" "YBL040C" "cluster3"
"66" "YBL042C" "cluster8"
"67" "YBL046W" "cluster3"
"68" "YBL049W" "cluster2"
"69" "YBL051C" "cluster3"
"70" "YBL054W" "cluster5"
"71" "YBL055C" "cluster3"
"72" "YBL058W" "cluster1"
"73" "YBL063W" "cluster3"
"74" "YBL064C" "cluster2"
"75" "YBL067C" "cluster3"
"76" "YBL068W" "cluster3"
"77" "YBL076C" "cluster5"
"78" "YBL080C" "cluster1"
"79" "YBL082C" "cluster8"
"80" "YBL085W" "cluster3"
"81" "YBL093C" "cluster3"
"82" "YBL097W" "cluster3"
"83" "YBL101C" "cluster1"
"84" "YBL102W" "cluster1"
"85" "YBL106C" "cluster1"
"86" "YBR004C" "cluster4"
"87" "YBR005W" "cluster8"
"88" "YBR006W" "cluster2"
"89" "YBR008C" "cluster1"
"90" "YBR009C" "cluster4"
"91" "YBR010W" "cluster4"
"92" "YBR014C" "cluster1"
"93" "YBR015C" "cluster3"
"94" "YBR016W" "cluster1"
"95" "YBR023C" "cluster3"
"96" "YBR025C" "cluster5"
"97" "YBR028C" "cluster3"
"98" "YBR033W" "cluster1"
"99" "YBR034C" "cluster5"
"100" "YBR037C" "cluster1"
"101" "YBR038W" "cluster4"
"102" "YBR039W" "cluster1"
"103" "YBR040W" "cluster7"
"104" "YBR041W" "cluster1"
"105" "YBR042C" "cluster3"
"106" "YBR044C" "cluster1"
"107" "YBR049C" "cluster3"
"108" "YBR052C" "cluster2"
"109" "YBR054W" "cluster6"
"110" "YBR056W" "cluster2"
"111" "YBR056W-A" "cluster7"
"112" "YBR057C" "cluster3"
"113" "YBR066C" "cluster8"
"114" "YBR067C" "cluster6"
"115" "YBR069C" "cluster4"
"116" "YBR070C" "cluster1"
"117" "YBR071W" "cluster8"
"118" "YBR073W" "cluster3"
"119" "YBR078W" "cluster5"
"120" "YBR079C" "cluster5"
"121" "YBR082C" "cluster4"
"122" "YBR083W" "cluster1"
