"GeneID" "Cluster"
"1" "YAL001C" "cluster1"
"2" "YAL002W" "cluster1"
"3" "YAL005C" "cluster2"
"4" "YAL007C" "cluster3"
"5" "YAL015C" "cluster1"
"6" "YAL016W" "cluster1"
"7" "YAL017W" "cluster2"
"8" "YAL019W" "cluster3"
"9" "YAL020C" "cluster1"
"10" "YAL023C" "cluster3"
"11" "YAL024C" "cluster3"
"12" "YAL026C" "cluster1"
"13" "YAL028W" "cluster2"
"14" "YAL029C" "cluster3"
"15" "YAL032C" "cluster1"
"16" "YAL033W" "cluster3"
"17" "YAL034W-A" "cluster3"
"18" "YAL039C" "cluster1"
"19" "YAL040C" "cluster1"
"20" "YAL041W" "cluster3"
"21" "YAL042W" "cluster3"
"22" "YAL044C" "cluster2"
"23" "YAL047C" "cluster3"
"24" "YAL049C" "cluster1"
"25" "YAL051W" "cluster1"
"26" "YAL054C" "cluster2"
"27" "YAL055W" "cluster1"
"28" "YAL056W" "cluster1"
"29" "YAL060W" "cluster2"
"30" "YAR002C-A" "cluster3"
"31" "YAR002W" "cluster3"
"32" "YAR003W" "cluster3"
"33" "YAR007C" "cluster3"
"34" "YAR008W" "cluster3"
"35" "YAR009C" "cluster4"
"36" "YAR014C" "cluster3"
"37" "YAR015W" "cluster5"
"38" "YAR018C" "cluster3"
"39" "YAR019C" "cluster1"
"40" "YAR027W" "cluster1"
"41" "YAR035W" "cluster6"
"42" "YBL002W" "cluster5"
"43" "YBL003C" "cluster5"
"44" "YBL004W" "cluster7"
"45" "YBL005W-B" "cluster4"
"46" "YBL008W" "cluster3"
"47" "YBL009W" "cluster3"
"48" "YBL014C" "cluster3"
"49" "YBL015W" "cluster2"
"50" "YBL016W" "cluster1"
"51" "YBL017C" "cluster1"
"52" "YBL020W" "cluster3"
"53" "YBL021C" "cluster1"
"54" "YBL022C" "cluster1"
"55" "YBL023C" "cluster3"
"56" "YBL024W" "cluster7"
"57" "YBL026W" "cluster3"
"58" "YBL028C" "cluster7"
"59" "YBL031W" "cluster3"
"60" "YBL032W" "cluster3"
"61" "YBL033C" "cluster1"
"62" "YBL034C" "cluster3"
"63" "YBL035C" "cluster3"
"64" "YBL039W-B" "cluster2"
"65" "YBL042C" "cluster5"
"66" "YBL046W" "cluster3"
"67" "YBL047C" "cluster1"
"68" "YBL049W" "cluster2"
"69" "YBL051C" "cluster3"
"70" "YBL052C" "cluster1"
"71" "YBL055C" "cluster3"
"72" "YBL057C" "cluster3"
"73" "YBL058W" "cluster1"
"74" "YBL063W" "cluster3"
"75" "YBL064C" "cluster2"
"76" "YBL067C" "cluster3"
"77" "YBL068W" "cluster3"
"78" "YBL074C" "cluster1"
"79" "YBL075C" "cluster2"
"80" "YBL080C" "cluster1"
"81" "YBL081W" "cluster7"
"82" "YBL082C" "cluster5"
"83" "YBL085W" "cluster3"
"84" "YBL088C" "cluster1"
"85" "YBL097W" "cluster1"
"86" "YBL101C" "cluster1"
"87" "YBL102W" "cluster1"
"88" "YBR004C" "cluster1"
"89" "YBR005W" "cluster2"
"90" "YBR009C" "cluster5"
"91" "YBR010W" "cluster5"
"92" "YBR014C" "cluster1"
"93" "YBR015C" "cluster3"
"94" "YBR016W" "cluster1"
"95" "YBR019C" "cluster2"
"96" "YBR021W" "cluster5"
"97" "YBR023C" "cluster3"
"98" "YBR024W" "cluster1"
"99" "YBR025C" "cluster7"
"100" "YBR028C" "cluster3"
"101" "YBR033W" "cluster1"
"102" "YBR034C" "cluster7"
"103" "YBR039W" "cluster1"
"104" "YBR040W" "cluster6"
"105" "YBR042C" "cluster3"
"106" "YBR044C" "cluster1"
"107" "YBR046C" "cluster2"
"108" "YBR049C" "cluster3"
"109" "YBR053C" "cluster2"
"110" "YBR054W" "cluster6"
"111" "YBR056W" "cluster2"
"112" "YBR056W-A" "cluster6"
"113" "YBR057C" "cluster1"
"114" "YBR059C" "cluster1"
"115" "YBR066C" "cluster2"
"116" "YBR067C" "cluster4"
"117" "YBR068C" "cluster2"
"118" "YBR069C" "cluster5"
"119" "YBR070C" "cluster1"
"120" "YBR071W" "cluster1"
"121" "YBR074W" "cluster3"
"122" "YBR077C" "cluster1"
