Sample	Stage	Genotype	Rep
0_0	G1	WT	0
1_0	HU45	WT	0
2_0	HU90	WT	0
3_0	G1	ixr1d	0
4_0	HU45	ixr1d	0
5_0	HU90	ixr1d	0
6_0	G1	swi4d	0
7_0	HU45	swi4d	0
8_0	HU90	swi4d	0
9_0	G1	swi6d	0
10_0	HU45	swi6d	0
11_0	HU90	swi6d	0
0_1	G1	WT	1
1_1	HU45	WT	1
2_1	HU90	WT	1
3_1	G1	ixr1d	1
4_1	HU45	ixr1d	1
5_1	HU90	ixr1d	1
6_1	G1	swi4d	1
7_1	HU45	swi4d	1
8_1	HU90	swi4d	1
9_1	G1	swi6d	1
10_1	HU45	swi6d	1
11_1	HU90	swi6d	1
